Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,-17.777778,39.267399,-3.711844,8.400488,-0.586081,4.102564,37.704518,-15.042735,-17.387057,-45.128205,24.810745,152.967033,101.782662,-106.862027,-59.975580,180.317460,-18.559219,85.372405,4.102564,20.903541,-9.181929,-39.658120,-59.975580
0.003906,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360
0.007812,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360
0.011719,0.586081,0.195360,0.195360,0.195360,0.195360,0.195360,0.586081,-0.195360,0.195360,0.586081,0.195360,0.976801,1.758242,-0.976801,0.195360,2.148962,0.586081,0.586081,0.195360,1.367521,-0.195360,-0.195360,0.195360
0.015625,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,2.148962,0.586081,0.195360,0.195360,2.148962,0.195360,0.195360,0.195360,-0.195360,0.195360,0.195360,0.195360
0.019531,-1.367521,1.758242,0.195360,-0.586081,0.195360,-0.195360,-2.148962,2.539683,-1.367521,-1.758242,-0.586081,-4.493284,-6.837607,5.665446,1.367521,-8.791209,-1.367521,-2.539683,0.195360,-6.056166,2.930403,2.539683,1.367521
0.023438,-2.148962,1.758242,0.195360,-0.195360,-0.195360,-0.976801,-1.758242,2.148962,-1.367521,-2.148962,-0.195360,-12.307692,-8.791209,7.228327,1.367521,-16.214896,-1.367521,-1.758242,0.195360,-5.274725,2.930403,1.758242,1.367521
0.027344,0.586081,-0.976801,0.195360,0.976801,0.976801,-0.195360,1.758242,-1.758242,1.367521,0.976801,0.586081,-0.586081,4.102564,-3.321123,-1.367521,2.930403,0.586081,2.539683,0.195360,5.665446,-1.367521,-1.758242,-1.367521
0.031250,2.930403,-2.148962,0.195360,0.976801,2.930403,0.195360,2.148962,-3.321123,2.930403,2.148962,0.195360,18.168498,13.089133,-9.572650,-2.930403,23.638584,1.367521,2.539683,0.195360,8.009768,-2.148962,-1.758242,-2.930403
0.035156,-0.586081,1.367521,0.195360,-1.367521,0.976801,-0.195360,-3.321123,1.758242,-0.586081,-0.976801,-1.367521,3.711844,-3.711844,4.102564,0.976801,-0.195360,-1.367521,-4.102564,0.195360,-5.665446,3.321123,3.321123,0.976801
0.039062,-6.837607,6.056166,0.195360,-2.148962,-1.367521,-2.148962,-8.009768,8.400488,-5.665446,-6.446886,-2.148962,-29.890110,-29.499389,23.638584,4.102564,-44.737485,-5.274725,-9.572650,0.195360,-22.075702,10.354090,8.009768,4.102564
0.042969,-16.214896,12.698413,-1.758242,-4.493284,0.586081,-9.181929,-19.731380,17.777778,-12.698413,-17.777778,-6.446886,-49.816850,-59.584860,46.691087,5.665446,-81.855922,-14.652015,-20.122100,2.148962,-48.644689,25.592186,18.168498,5.665446
0.046875,-23.247863,16.996337,-1.367521,-8.791209,6.056166,-16.214896,-29.108669,22.466422,-16.605617,-26.373626,-9.572650,-82.246642,-84.200244,65.445665,8.400488,-126.398046,-22.466422,-27.155067,1.758242,-64.664225,35.750916,23.247863,8.400488
0.050781,-22.857143,12.307692,-1.367521,-6.056166,16.214896,-22.857143,-29.499389,17.387057,-12.307692,-27.155067,-9.181929,-86.544567,-75.604396,59.194139,-0.586081,-120.537241,-26.373626,-25.592186,1.758242,-52.551893,37.313797,20.122100,-0.586081
0.054688,-19.731380,6.837607,-0.586081,-6.056166,27.545788,-25.982906,-30.671551,9.572650,-7.228327,-23.638584,-11.916972,-64.273504,-58.021978,49.035409,-9.963370,-89.279609,-27.545788,-28.327228,0.976801,-41.611722,38.876679,18.949939,-9.963370
