Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,-20.122100,2.539683,0.195360,2.539683,29.890110,-29.108669,-4.884005,-9.572650,9.572650,-23.247863,-3.321123,-14.261294,-20.903541,-3.711844,-14.261294,7.228327,-20.903541,-6.446886,0.195360,-25.592186,0.195360,11.916972,-14.261294
0.003906,-16.605617,4.884005,0.195360,0.976801,33.015873,-28.717949,-0.586081,-13.089133,15.433455,-16.214896,-0.976801,-18.559219,-10.744811,-3.321123,-11.135531,5.274725,-14.652015,-5.665446,0.195360,-27.155067,-3.711844,16.214896,-11.135531
0.007812,-12.307692,5.665446,3.711844,0.195360,28.327228,-22.466422,0.195360,-7.619048,19.731380,-9.181929,0.195360,-15.433455,-3.321123,0.586081,-7.619048,4.884005,-10.354090,-0.586081,-3.321123,-23.247863,-3.711844,10.744811,-7.619048
0.011719,-6.837607,5.665446,6.056166,-0.195360,24.420024,-19.340659,1.758242,-2.148962,25.201465,-6.446886,0.586081,-9.963370,2.930403,2.930403,-4.884005,7.228327,-8.791209,4.102564,-5.665446,-22.857143,-4.884005,9.963370,-4.884005
0.015625,0.976801,8.791209,2.930403,-1.367521,30.280830,-18.559219,4.884005,-4.884005,29.890110,-2.930403,5.665446,-10.744811,9.181929,6.446886,-0.976801,5.274725,-2.930403,4.102564,-2.539683,-26.764347,-10.744811,15.824176,-0.976801
0.019531,11.135531,9.963370,2.539683,-1.758242,36.923077,-14.261294,6.446886,-6.446886,35.750916,-0.976801,12.307692,-9.572650,17.387057,10.744811,2.930403,4.884005,7.619048,1.758242,-2.148962,-25.592186,-15.042735,14.652015,2.930403
0.023438,18.168498,8.400488,1.367521,-1.758242,41.611722,-11.135531,3.321123,-6.056166,38.485958,0.195360,13.479853,-5.665446,19.340659,13.479853,3.321123,8.009768,18.559219,0.586081,-0.976801,-24.810745,-16.996337,12.698413,3.321123
0.027344,20.512821,10.354090,-1.367521,-0.195360,48.644689,-9.572650,0.976801,-9.181929,41.221001,0.586081,13.870574,-7.228327,20.903541,14.652015,2.148962,9.963370,29.499389,-1.758242,1.758242,-30.671551,-18.949939,20.512821,2.148962
0.031250,24.029304,11.526252,-2.148962,-0.195360,53.333333,-6.446886,0.586081,-13.870574,45.518926,2.148962,12.698413,-13.479853,22.466422,16.214896,1.367521,6.056166,38.876679,-8.009768,2.539683,-29.108669,-17.387057,19.731380,1.367521
0.035156,23.638584,9.181929,-0.976801,-1.367521,52.161172,-2.930403,-2.539683,-13.870574,47.081807,0.195360,9.963370,-16.214896,18.168498,15.824176,1.367521,3.711844,43.565324,-15.433455,1.367521,-24.810745,-15.433455,13.479853,1.367521
0.039062,18.559219,12.307692,-2.539683,-3.321123,51.770452,-5.665446,-4.102564,-15.433455,46.300366,-2.539683,5.665446,-18.168498,13.089133,14.261294,0.195360,1.758242,45.909646,-25.201465,2.930403,-33.015873,-15.042735,18.559219,0.195360
